title,year,durations,genre,rating,movie_url
The Shawshank Redemption ,1994,2h 22min,Drama,9.3,http://web.archive.org/web/20200714035946/https://www.imdb.com/title/tt0111161/
The Usual Suspects ,1995,1h 46min,Crime,8.5,http://web.archive.org/web/20200714053116/https://www.imdb.com/title/tt0114814/
American History X ,1998,1h 59min,Drama,8.5,http://web.archive.org/web/20200714080333/https://www.imdb.com/title/tt0120586/
Gladiator ,2000,2h 35min,Action,8.5,http://web.archive.org/web/20200715145330/http://www.imdb.com/title/tt0172495/
The Lion King ,1994,1h 28min,Animation,8.5,http://web.archive.org/web/20200716172136/https://www.imdb.com/title/tt0110357/
Joker ,2019,2h 2min,Crime,8.5,http://web.archive.org/web/20200714122119/https://www.imdb.com/title/tt7286456/
Anand ,1971,2h 2min,Drama,8.6,http://web.archive.org/web/20200714090047/https://www.imdb.com/title/tt0066763/
Whiplash ,2014,1h 46min,Drama,8.5,http://web.archive.org/web/20200714080433/https://www.imdb.com/title/tt2582802/
Seven Samurai ,1954,3h 27min,Action,8.6,http://web.archive.org/web/20200716171253/https://www.imdb.com/title/tt0047478/
The Prestige ,2006,2h 10min,Drama,8.5,http://web.archive.org/web/20200716173241/https://www.imdb.com/title/tt0482571/
The Pianist ,2002,2h 30min,Biography,8.5,http://web.archive.org/web/20200715094805/https://www.imdb.com/title/tt0253474/
Terminator 2: Judgment Day ,1991,2h 17min,Action,8.5,http://web.archive.org/web/20200712022126/https://www.imdb.com/title/tt0103064/
The Intouchables ,2011,1h 52min,Biography,8.5,http://web.archive.org/web/20200714080353/https://www.imdb.com/title/tt1675434/
The Departed ,2006,2h 31min,Crime,8.5,http://web.archive.org/web/20200714052524/https://www.imdb.com/title/tt0407887/
Léon ,1994,1h 50min,Action,8.5,http://web.archive.org/web/20200715072507/https://www.imdb.com/title/tt0110413/
It's a Wonderful Life ,1946,2h 10min,Drama,8.6,http://web.archive.org/web/20200714055953/https://www.imdb.com/title/tt0038650/
Psycho ,1960,1h 49min,Horror,8.5,http://web.archive.org/web/20200714055053/https://www.imdb.com/title/tt0054215/
Nuovo Cinema Paradiso ,1988,2h 35min,Drama,8.5,http://web.archive.org/web/20200714170157/https://www.imdb.com/title/tt0095765/
Casablanca ,1942,1h 42min,Drama,8.5,http://web.archive.org/web/20200714051627/https://www.imdb.com/title/tt0034583/
Back to the Future ,1985,1h 56min,Adventure,8.5,http://web.archive.org/web/20200714232538/https://www.imdb.com/title/tt0088763/
Once Upon a Time in the West ,1968,2h 45min,Western,8.5,http://web.archive.org/web/20200715151431/https://www.imdb.com/title/tt0064116/
Star Wars: Episode IV - A New Hope ,1977,2h 1min,Action,8.6,http://web.archive.org/web/20200716171627/https://www.imdb.com/title/tt0076759/
The Silence of the Lambs ,1991,1h 58min,Crime,8.6,http://web.archive.org/web/20200715044236/https://www.imdb.com/title/tt0102926/
Saving Private Ryan ,1998,2h 49min,Drama,8.6,http://web.archive.org/web/20200714052455/https://www.imdb.com/title/tt0120815/
Die letzten Glühwürmchen ,1988,1h 29min,Animation,8.5,http://web.archive.org/web/20200715053537/https://www.imdb.com/title/tt0095327/
Spirited Away ,2001,2h 5min,Animation,8.6,http://web.archive.org/web/20200714045337/https://www.imdb.com/title/tt0245429/
The Green Mile ,1999,3h 9min,Crime,8.6,http://web.archive.org/web/20200714044804/https://www.imdb.com/title/tt0120689/
City of God ,2002,2h 10min,Crime,8.6,http://web.archive.org/web/20200714035551/https://www.imdb.com/title/tt0317248/
La vita è bella ,1997,1h 56min,Comedy,8.6,http://web.archive.org/web/20200715094956/https://www.imdb.com/title/tt0118799/
Parasite ,2019,2h 12min,Comedy,8.6,http://web.archive.org/web/20200714020315/https://www.imdb.com/title/tt6751668/
Interstellar ,2014,2h 49min,Adventure,8.6,http://web.archive.org/web/20200714070245/https://www.imdb.com/title/tt0816692/
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,8.7,http://web.archive.org/web/20200714035649/https://www.imdb.com/title/tt0073486/
Se7en ,1995,2h 7min,Crime,8.6,http://web.archive.org/web/20200714045927/https://www.imdb.com/title/tt0114369/
Harakiri ,1962,2h 13min,Action,8.7,http://web.archive.org/web/20200716172056/https://www.imdb.com/title/tt0056058/
Full Metal Jacket ,1987,1h 56min,Drama,8.3,http://web.archive.org/web/20181221065429/https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt
Star Wars: Episode V - The Empire Strikes Back ,1980,2h 4min,Action,8.7,http://web.archive.org/web/20200714105828/https://www.imdb.com/title/tt0080684/
,,,,,http://web.archive.org/web/20210918202017/https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20220325181527/https://www.imdb.com/title/tt0114709/?ref_=adv_li_tt
